,status_id,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
142,246675545449582_1422896067827518,251,17,0,244,7,0,0,0,0
143,246675545449582_1422753927841732,244,589,48,213,29,1,1,0,0
144,246675545449582_1422162634567528,252,558,41,204,45,1,1,0,1
145,246675545449582_1421238677993257,121,15,4,114,4,2,1,0,0
146,246675545449582_1420966601353798,321,5,0,307,11,2,1,0,0
147,246675545449582_1420888391361619,103,8,3,99,4,0,0,0,0
148,246675545449582_1420827441367714,136,31,16,122,14,0,0,0,0
149,246675545449582_1420707958046329,337,247,27,300,35,1,1,0,0
150,246675545449582_1420240374759754,648,13,0,627,18,3,0,0,0
151,246675545449582_1419833428133782,175,157,14,157,18,0,0,0,0
152,246675545449582_1419167851533673,339,424,36,296,38,1,4,0,0
153,246675545449582_1419130778204047,341,3,0,331,8,2,0,0,0
154,246675545449582_1418903018226823,177,131,27,150,27,0,0,0,0
155,246675545449582_1413298985453893,201,0,0,195,4,2,0,0,0
156,246675545449582_1413090338808091,43,7,0,41,2,0,0,0,0
157,246675545449582_1411323222318136,40,7,0,39,1,0,0,0,0
158,246675545449582_1408385109278614,58,14,0,57,1,0,0,0,0
159,246675545449582_1407672699349855,403,525,42,363,36,1,3,0,0
160,246675545449582_1407589059358219,148,4,3,144,4,0,0,0,0
161,246675545449582_1407502582700200,150,24,2,144,6,0,0,0,0
162,246675545449582_1406975012752957,53,12,0,53,0,0,0,0,0
163,246675545449582_1406936809423444,144,15,8,140,4,0,0,0,0
164,246675545449582_1406839432766515,298,491,46,262,34,2,0,0,0
165,246675545449582_1406792459437879,171,4,1,166,5,0,0,0,0
166,246675545449582_1404391233011335,4410,633,257,4315,73,17,5,0,0
167,246675545449582_1401614789955646,374,588,46,327,47,0,0,0,0
168,246675545449582_1400641396719652,181,20,0,180,1,0,0,0,0
169,246675545449582_1397536097030182,267,20,1,249,8,10,0,0,0
170,246675545449582_1397278180389307,60,7,0,59,1,0,0,0,0
171,246675545449582_1395111113939347,98,23,5,95,2,1,0,0,0
172,246675545449582_1394887663961692,26,7,0,26,0,0,0,0,0
173,246675545449582_1393786207405171,255,18,0,244,11,0,0,0,0
174,246675545449582_1392897467494045,174,6,1,167,5,2,0,0,0
175,246675545449582_1392132690903856,64,5,1,59,5,0,0,0,0
176,246675545449582_1392113310905794,62,3,0,58,4,0,0,0,0
177,246675545449582_1391704667613325,192,417,40,168,22,1,1,0,0
178,246675545449582_1391646507619141,110,18,6,110,0,0,0,0,0
179,246675545449582_1391645867619205,119,12,7,117,2,0,0,0,0
180,246675545449582_1389882727795519,42,11,0,41,0,1,0,0,0
181,246675545449582_1389639647819827,234,355,34,178,52,2,0,1,1
182,246675545449582_1388231731293952,54,10,0,53,1,0,0,0,0
183,246675545449582_1388230471294078,82,8,0,80,1,0,0,1,0
184,246675545449582_1388082824642176,18,8,0,18,0,0,0,0,0
185,246675545449582_1385237634926695,147,17,7,141,5,1,0,0,0
186,246675545449582_1385219348261857,80,8,0,79,1,0,0,0,0
187,246675545449582_1384098221707303,299,564,42,262,34,1,1,0,1
188,246675545449582_1382019818581810,629,11,1,607,18,4,0,0,0
189,246675545449582_1381793938604398,69,2,0,67,2,0,0,0,0
190,246675545449582_1381004085350050,219,110,17,190,26,1,2,0,0
191,246675545449582_1380978478685944,30,2,0,27,3,0,0,0,0
192,246675545449582_1380462345404224,65,1,0,62,2,1,0,0,0
193,246675545449582_1380211685429290,161,7,0,153,8,0,0,0,0
194,246675545449582_1380140728769719,398,605,30,348,44,3,3,0,0
195,246675545449582_1379424162174709,47,7,0,47,0,0,0,0,0
196,246675545449582_1379278652189260,182,3,4,177,5,0,0,0,0
197,246675545449582_1379165728867219,317,158,32,269,47,1,0,0,0
198,246675545449582_1378449768938815,571,888,107,459,107,1,1,1,2
199,246675545449582_1377472849036507,16,10,0,15,1,0,0,0,0
200,246675545449582_1375841469199645,30,9,0,30,0,0,0,0,0
201,246675545449582_1375825209201271,57,7,0,57,0,0,0,0,0
202,246675545449582_1374922852624840,74,6,3,74,0,0,0,0,0
203,246675545449582_1373053352811790,368,911,50,317,50,1,0,0,0
204,246675545449582_1373040689479723,19,3,0,19,0,0,0,0,0
205,246675545449582_1372717162845409,176,3,0,175,0,1,0,0,0
206,246675545449582_1372031632913962,133,7,0,133,0,0,0,0,0
207,246675545449582_1371921179591674,162,6,2,158,3,1,0,0,0
208,246675545449582_1371785262938599,734,996,73,601,116,11,6,0,0
209,246675545449582_1370957466354712,42,16,9,41,1,0,0,0,0
210,246675545449582_1370352769748515,33,6,3,31,2,0,0,0,0
211,246675545449582_1367261536724305,29,6,1,29,0,0,0,0,0
212,246675545449582_1367178110065981,43,6,0,42,1,0,0,0,0
213,246675545449582_1366562330127559,14,6,0,13,1,0,0,0,0
214,246675545449582_1365608996889559,475,574,48,406,63,4,2,0,0
215,246675545449582_1365207070263085,50,8,2,49,1,0,0,0,0
216,246675545449582_1365188530264939,94,23,6,94,0,0,0,0,0
217,246675545449582_1361306617319797,303,34,3,291,11,1,0,0,0
218,246675545449582_1361198480663944,168,7,1,167,1,0,0,0,0
219,246675545449582_1360915977358861,248,14,0,241,7,0,0,0,0
220,246675545449582_1360313524085773,422,6,0,410,8,3,1,0,0
221,246675545449582_1360110617439397,189,3,0,184,2,0,3,0,0
222,246675545449582_1360055367444922,390,17,2,382,5,3,0,0,0
223,246675545449582_1359829454134180,618,28,0,597,14,7,0,0,0
224,246675545449582_1359179027532556,191,2,2,188,2,1,0,0,0
225,246675545449582_1356963477754111,321,1381,67,275,44,1,1,0,0
226,246675545449582_1354347211349071,364,7,2,347,15,2,0,0,0
227,246675545449582_1351151295001996,51,10,0,51,0,0,0,0,0
228,246675545449582_1350461668404292,282,524,38,247,34,0,1,0,0
229,246675545449582_1347432472040545,369,14,1,362,7,0,0,0,0
230,246675545449582_1346580615459064,138,16,6,133,4,1,0,0,0
231,246675545449582_1343559165761209,96,9,1,93,1,2,0,0,0
232,246675545449582_1342399675877158,186,11,0,184,1,1,0,0,0
233,246675545449582_1342236625893463,487,15,0,461,14,12,0,0,0
234,246675545449582_1342150709235388,282,19,4,257,20,3,2,0,0
235,246675545449582_1332714503512342,383,8,1,367,13,3,0,0,0
236,246675545449582_1332163873567405,216,0,1,211,5,0,0,0,0
237,246675545449582_1332070653576727,48,0,0,45,2,1,0,0,0
238,246675545449582_1331955210254938,885,462,26,659,220,0,2,0,0
239,246675545449582_1331929853590807,185,11,1,175,10,0,0,0,0
240,246675545449582_1331853133598479,259,1,1,251,7,0,1,0,0
241,246675545449582_1331760736941052,299,9,0,291,8,0,0,0,0
242,246675545449582_1331658313617961,199,9,1,186,13,0,0,0,0
243,246675545449582_1330910960359363,717,40,1,680,30,7,0,0,0
244,246675545449582_1329160057201120,155,2,0,150,5,0,0,0,0
245,246675545449582_1328148713968921,293,8,0,282,11,0,0,0,0
246,246675545449582_1325518754231917,243,6,0,237,5,1,0,0,0
247,246675545449582_1320853268031799,264,2,0,256,2,5,0,0,0
248,246675545449582_1319907678126358,313,3,0,297,7,6,0,0,0
249,246675545449582_1319282378188888,208,1,0,201,7,0,0,0,0
250,246675545449582_1319278494855943,216,0,0,209,6,1,0,0,0
251,246675545449582_1319045328212593,247,6,0,234,9,1,0,0,0
252,246675545449582_1318896854894107,152,1,0,146,5,1,0,0,0
253,246675545449582_1318160668301059,387,3,0,368,16,1,0,0,0
254,246675545449582_1317164368400689,178,9,0,170,6,0,0,0,0
255,246675545449582_1317039571746502,218,4,0,212,5,1,0,0,0
256,246675545449582_1316848781765581,270,3,0,256,10,3,0,0,0
257,246675545449582_1315331711917288,351,4,1,344,6,0,0,0,0
258,246675545449582_1315158578601268,232,0,2,224,8,0,0,0,0
259,246675545449582_1315153498601776,252,3,0,244,4,4,0,0,0
260,246675545449582_1315090955274697,122,0,0,114,8,0,0,0,0
261,246675545449582_1314302952020164,209,4,0,199,9,1,0,0,0
262,246675545449582_1314133352037124,305,5,1,295,10,0,0,0,0
263,246675545449582_1312235792226880,71,10,2,70,1,0,0,0,0
264,246675545449582_1306375336146259,290,12,0,275,13,1,1,0,0
265,246675545449582_1298172296966563,67,6,3,66,0,1,0,0,0
266,246675545449582_1297316837052109,783,11,0,752,30,1,0,0,0
267,246675545449582_1289646377819155,77,2,0,76,1,0,0,0,0
268,246675545449582_1288754317908361,22,0,0,22,0,0,0,0,0
269,246675545449582_1287866294663830,103,0,0,100,2,1,0,0,0
270,246675545449582_1286953054755154,32,0,2,32,0,0,0,0,0
271,246675545449582_1286800308103762,239,5,2,229,8,0,0,2,0
272,246675545449582_1285927694857690,111,6,0,110,1,0,0,0,0
273,246675545449582_1283769161740210,51,0,1,51,0,0,0,0,0
274,246675545449582_1303369639780162,34,4,0,34,0,0,0,0,0
275,246675545449582_1280453208738472,15,0,0,15,0,0,0,0,0
276,246675545449582_1279507272166399,75,0,5,75,0,0,0,0,0
277,246675545449582_1278450792272047,177,2,0,173,2,2,0,0,0
278,246675545449582_1278061308977662,520,8,0,505,13,2,0,0,0
279,246675545449582_1276088762508250,134,2,0,132,2,0,0,0,0
280,246675545449582_1276013659182427,228,1,1,220,7,1,0,0,0
281,246675545449582_1274485052668621,498,254,17,408,77,5,6,1,1
282,246675545449582_1272251959558597,166,5,2,159,7,0,0,0,0
283,246675545449582_1270221603094966,272,265,20,228,44,0,0,0,0
284,246675545449582_1270186029765190,127,7,1,125,2,0,0,0,0
285,246675545449582_1269477749836018,30,0,0,29,0,1,0,0,0
286,246675545449582_1269093463207780,33,1,1,33,0,0,0,0,0
287,246675545449582_1265081296942330,252,5,0,239,9,4,0,0,0
288,246675545449582_1264410220342771,287,0,0,286,0,1,0,0,0
289,246675545449582_1263257983791328,264,8,3,257,5,2,0,0,0
290,246675545449582_1263186560465137,152,5,1,148,3,1,0,0,0
291,246675545449582_1263178873799239,61,5,0,57,3,1,0,0,0
292,246675545449582_1263174217133038,172,7,7,163,6,2,1,0,0
293,246675545449582_1262985247151935,616,523,21,459,125,21,8,0,1
294,246675545449582_1262105903906536,188,0,0,184,4,0,0,0,0
295,246675545449582_1262034897246970,593,309,23,484,99,1,4,4,1
296,246675545449582_1260586510725142,189,2,0,182,5,2,0,0,0
297,246675545449582_1259500860833707,178,5,0,175,3,0,0,0,0
298,246675545449582_1256629337787526,318,7,0,313,4,1,0,0,0
299,246675545449582_1255176157932844,362,9,0,352,7,3,0,0,0
300,246675545449582_1254118221371971,48,6,0,48,0,0,0,0,0
301,246675545449582_1254116288038831,248,1,0,244,3,1,0,0,0
302,246675545449582_1253313294785797,520,2,0,509,11,0,0,0,0
303,246675545449582_1253204511463342,97,8,2,94,3,0,0,0,0
304,246675545449582_1251371934979933,400,16,0,392,6,2,0,0,0
305,246675545449582_1250654545051672,218,0,0,212,6,0,0,0,0
306,246675545449582_1250548631728930,77,13,4,77,0,0,0,0,0
307,246675545449582_1250132478437212,204,4,0,198,3,3,0,0,0
308,246675545449582_1248887611895032,405,6,0,399,6,0,0,0,0
309,246675545449582_1248175795299547,210,0,0,204,6,0,0,0,0
310,246675545449582_1247680408682419,214,1,0,208,5,1,0,0,0
311,246675545449582_1246920978758362,374,4,0,360,7,7,0,0,0
312,246675545449582_1246913488759111,457,3,0,444,10,3,0,0,0
313,246675545449582_1246883542095439,215,0,0,205,8,2,0,0,0
314,246675545449582_1246498245467302,7,5,0,7,0,0,0,0,0
315,246675545449582_1244826458967814,38,6,3,38,0,0,0,0,0
316,246675545449582_1242543832529410,168,1,0,168,0,0,0,0,0
317,246675545449582_1242501812533612,277,0,0,274,2,1,0,0,0
318,246675545449582_1241445855972541,196,1,0,190,6,0,0,0,0
319,246675545449582_1241037512680042,100,3,0,99,1,0,0,0,0
320,246675545449582_1240323252751468,85,4,0,79,4,2,0,0,0
321,246675545449582_1239409519509508,34,10,6,34,0,0,0,0,0
322,246675545449582_1237408416376285,41,9,0,39,1,1,0,0,0
323,246675545449582_1237407966376330,23,5,1,22,1,0,0,0,0
324,246675545449582_1236222419828218,217,24,5,206,10,1,0,0,0
325,246675545449582_1235278706589256,161,9,2,158,3,0,0,0,0
326,246675545449582_1235186376598489,279,0,0,276,3,0,0,0,0
327,246675545449582_1233650100085450,97,9,3,95,2,0,0,0,0
328,246675545449582_1233223386794788,489,3,0,480,6,3,0,0,0
329,246675545449582_1232468266870300,245,4,0,242,3,0,0,0,0
330,246675545449582_1231639473619846,270,5,0,268,2,0,0,0,0
331,246675545449582_1231490300301430,166,11,1,165,1,0,0,0,0
332,246675545449582_1231328130317647,121,18,3,110,11,0,0,0,0
333,246675545449582_1231287666988360,33,9,1,33,0,0,0,0,0
334,246675545449582_1231287606988366,72,1,0,72,0,0,0,0,0
335,246675545449582_1231280986989028,174,0,0,173,1,0,0,0,0
336,246675545449582_1231257093658084,192,0,0,186,3,3,0,0,0
337,246675545449582_1231242440326216,286,61,5,250,30,5,1,0,0
338,246675545449582_1231206533663140,231,0,0,230,0,1,0,0,0
339,246675545449582_1231206253663168,138,1,0,135,2,1,0,0,0
340,246675545449582_1230590363724757,104,6,1,102,2,0,0,0,0
341,246675545449582_1230583823725411,91,10,4,90,0,1,0,0,0
342,246675545449582_1230346027082524,682,22,0,657,12,13,0,0,0
343,246675545449582_1229012967215830,1379,769,69,1131,234,4,4,2,4
344,246675545449582_1228848210565639,629,16,1,610,16,2,1,0,0
345,246675545449582_1226281594155634,58,4,3,58,0,0,0,0,0
346,246675545449582_1225558117561315,272,9,0,268,2,2,0,0,0
347,246675545449582_1225220974261696,213,2,2,207,6,0,0,0,0
348,246675545449582_1224187674365026,225,2,0,220,5,0,0,0,0
349,246675545449582_1224030577714069,463,48,2,450,8,4,1,0,0
350,246675545449582_1223199424463851,285,7,0,276,8,1,0,0,0
351,246675545449582_1223157987801328,526,18,0,512,12,2,0,0,0
352,246675545449582_1223077674476026,418,4,0,406,9,3,0,0,0
353,246675545449582_1222413617875765,515,10,0,505,9,0,1,0,0
354,246675545449582_1222412677875859,377,5,0,365,10,2,0,0,0
355,246675545449582_1222237971226663,1186,37,1,1161,19,6,0,0,0
356,246675545449582_1221151348001992,591,560,49,498,84,3,4,1,1
357,246675545449582_1216734251777035,424,8,1,411,13,0,0,0,0
358,246675545449582_1215880921862368,119,16,0,105,0,0,0,8,6
359,246675545449582_1215763855207408,67,9,0,66,1,0,0,0,0
360,246675545449582_1215755788541548,439,10,3,424,15,0,0,0,0
361,246675545449582_1215755648541562,1043,117,24,984,58,1,0,0,0
362,246675545449582_1215751681875292,690,10,0,667,21,2,0,0,0
363,246675545449582_1213633825420411,84,7,1,84,0,0,0,0,0
364,246675545449582_1212815102168950,491,16,0,478,11,2,0,0,0
365,246675545449582_1211991745584619,63,1,0,61,0,2,0,0,0
366,246675545449582_1211406398976487,46,3,1,46,0,0,0,0,0
367,246675545449582_1208615195922274,320,17,0,309,9,1,1,0,0
368,246675545449582_1206677249449402,51,8,6,51,0,0,0,0,0
369,246675545449582_1204775666306227,85,9,2,83,2,0,0,0,0
370,246675545449582_1204766949640432,99,13,0,98,1,0,0,0,0
371,246675545449582_1202681639848963,213,13,1,212,1,0,0,0,0
372,246675545449582_1200635193386941,156,12,0,154,2,0,0,0,0
373,246675545449582_1199699436813850,204,128,4,184,17,0,2,1,0
374,246675545449582_1199487093501751,246,8,0,241,3,2,0,0,0
375,246675545449582_1198739810243146,225,2,0,219,6,0,0,0,0
376,246675545449582_1198573446926449,256,427,30,191,62,1,2,0,0
377,246675545449582_1198444310272696,146,1,0,142,2,2,0,0,0
378,246675545449582_1197655157018278,212,0,1,206,5,0,1,0,0
379,246675545449582_1196791003771360,229,3,0,225,4,0,0,0,0
380,246675545449582_1196036140513513,66,2,0,64,1,1,0,0,0
381,246675545449582_1196034470513680,158,0,0,157,1,0,0,0,0
382,246675545449582_1195868550530272,301,7,0,288,6,6,0,1,0
383,246675545449582_1195835127200281,88,1,0,87,1,0,0,0,0
384,246675545449582_1195826603867800,148,54,2,126,18,4,0,0,0
385,246675545449582_1194979570619170,398,11,0,390,4,4,0,0,0
386,246675545449582_1194152324035228,89,4,0,86,3,0,0,0,0
387,246675545449582_1194152114035249,151,0,0,146,3,2,0,0,0
388,246675545449582_1193948517388942,155,5,0,152,2,0,1,0,0
389,246675545449582_1193370614113399,109,13,0,104,5,0,0,0,0
390,246675545449582_1193100794140381,117,16,0,104,11,2,0,0,0
391,246675545449582_1193098504140610,112,7,0,101,11,0,0,0,0
392,246675545449582_1193082417475552,132,3,0,123,5,4,0,0,0
393,246675545449582_1193081934142267,149,3,0,142,5,2,0,0,0
394,246675545449582_1192627357521058,274,9,0,260,11,2,1,0,0
395,246675545449582_1192593007524493,195,95,5,162,30,0,3,0,0
396,246675545449582_1192139650903162,138,25,2,125,11,2,0,0,0
397,246675545449582_1191470297636764,627,266,8,519,105,2,0,1,0
398,246675545449582_1187218114728649,289,23,0,279,7,3,0,0,0
399,246675545449582_1186387618145032,209,10,0,204,4,1,0,0,0
400,246675545449582_1186230391494088,162,75,6,145,16,0,1,0,0
401,246675545449582_1185479421569185,265,11,0,259,6,0,0,0,0
402,246675545449582_1184777364972724,301,10,0,294,6,1,0,0,0
403,246675545449582_1183760258407768,213,5,0,209,4,0,0,0,0
404,246675545449582_1183759621741165,210,3,0,206,4,0,0,0,0
405,246675545449582_1182845348499259,408,11,0,393,9,6,0,0,0
406,246675545449582_1175029279280866,223,6,0,215,7,1,0,0,0
407,246675545449582_1174777059306088,359,4,0,353,5,1,0,0,0
408,246675545449582_1174655055984955,535,2,0,485,27,0,0,23,0
409,246675545449582_1173110559472738,362,10,0,354,8,0,0,0,0
410,246675545449582_1171413546309106,266,165,10,215,42,3,4,2,0
411,246675545449582_1170579266392534,156,2,0,151,5,0,0,0,0
412,246675545449582_1170378916412569,110,21,0,102,6,1,1,0,0
413,246675545449582_1170184399765354,446,6148,120,352,80,7,5,0,2
414,246675545449582_1170144596436001,102,1,0,102,0,0,0,0,0
415,246675545449582_1169554633161664,161,6,0,158,3,0,0,0,0
416,246675545449582_1169527336497727,279,8,0,273,6,0,0,0,0
417,246675545449582_1168502879933506,288,6,0,281,5,2,0,0,0
418,246675545449582_1167223483394779,230,8,0,221,8,1,0,0,0
419,246675545449582_1166277320156062,271,12,0,262,6,3,0,0,0
